kelime,kok
velinimet,velinimet
zevkim,zevk:im
edeceğimi,et:eceğimi
konuşmuş,konuş:muş
lambasını,lamba:sını
telaşlanma,telaşlan:ma
bahçesi,bahçe:si
ucundan,uç:undan
sulara,su:lara
zavallıydı,zavallı:ydı
mezarın,mezar:ın
faaliyete,faaliyet:e
zihnimden,zihin:mden
bunlardan,bun:lardan
şapkasını,şapka:sını
memurları,memur:ları
yaparsa,yap:arsa
umut,umut
şevkle,şevk:le
koyar,koyar
varlıklarıyla,varlık:larıyla
içeceğe,içecek:e
kalabalık,kalabalık
olsun,ol:sun
çocuğunu,çocuk:unu
sokulgan,sokulgan
sırasıydı,sıra:sıydı
başlardım,başla:rdım
yalanımı,yalan:ımı
cesaretsizliğimle,cesaret:sizliğimle
sapsarı,sapsarı
otele,otel:e
kalmayı,kal:mayı
sizce,siz:ce
halledilmiş,hallet:ilmiş
ise,ise
uzundu,uzun:du
duruş,dur:uş
söylemeyi,söyle:meyi
çevresinde,çevre:sinde
konuşuyorlardı,konuş:uyorlardı
kızgın,kızgın
kılığı,kılık:ı
sıkıntıya,sıkıntı:ya
nakşetmiş,nakşet:miş
takma,takma
vurmaktan,vur:maktan
kaçmaktı,kaç:maktı
yarıda,yarı:da
kaldırırlardı,kaldır:ırlardı
vurmanın,vur:manın
eşyalarını,eşya:larını
pansiyon,pansiyon
canlandı,canlan:dı
geçirmiş,geçir:miş
bahsederdik,bahset:erdik
gözlemek,gözle:mek
bahçenin,bahçe:nin
düş,düş
bedeli,bedel:i
becerebilirdim,becer:ebilirdim
çimenler,çimen:ler
kökü,kök:ü
donduruyordu,don:duruyordu
ıstakozları,ıstakoz:ları
duvar,duvar
söylerken,söyle:rken
bünyesi,bünye:si
görmemezlikten,gör:memezlikten
kımıldattı,kımılda:ttı
şaraplarını,şarap:larını
kuşu,kuş:u
gevşeme,gevşe:me
ağlamaya,ağla:maya
kenetlemiş,kenetle:miş
uğradık,uğra:dık
tavırla,tavır:la
kıpırdamadan,kıpırda:madan
başarıyla,başarı:yla
almanca,almanca
uykuya,uyku:ya
yapılabilir,yap:ılabilir
çevirdiğiniz,çevir:diğiniz
bırakmışa,bırak:mışa
eğlenerek,eğlen:erek
bıçak,bıçak
tekrarlaması,tekrarla:ması
bacaklarımda,bacak:larımda
karşılaşmamak,karşılaş:mamak
oynuyordu,oyna:yordu
sırtı,sırt:ı
modern,modern
doğmuşsun,doğ:muşsun
sıkıyordu,sık:ıyordu
çektiğim,çek:tiğim
birleşen,birleşen
aittir,ait:tir
masanın,masa:nın
başlayacağı,başla:yacağı
suları,su:ları
avrupada,avrupa:da
kalmaya,kal:maya
kızıma,kız:ıma
çekmişti,çek:mişti
cildinde,cilt:inde
teşhir,teşhir
şurada,şurada
edilebilir,et:ilebilir
pastalardan,pasta:lardan
olmaktı,ol:maktı
derstir,ders:tir
prag'a,prag:'a
portresinin,portre:sinin
getiriyor,getir:iyor
gitsek,git:sek
dolaşıyordum,dolaş:ıyordum
uyanmış,uyan:mış
sandığı,sandık:ı
dizili,dizi:li
başlıyorduk,başla:yorduk
parmağıyla,parmak:ıyla
danstır,dans:tır
duruyordum,dur:uyordum
isterseniz,iste:rseniz
etmiş,et:miş
ateşi,ateş:i
koku,kok:u
saçı,saçı
dünyadan,dünya:dan
almalı,al:malı
uzatarak,uzat:arak
yüksek,yüksek
ateşe,ateş:e
maria,maria
ukalalığından,ukala:lığından
ölsek,öl:sek
kımıldamamış,kımılda:mamış
parçasından,parça:sından
edilmeyecek,et:ilmeyecek
yetmez,yet:mez
kapanmakla,kapan:makla
seyredip,seyret:ip
geçeceğini,geç:eceğini
omuzlarını,omuz:larını
sıkılacak,sıkıl:acak
edilmiş,et:ilmiş
ömrünün,ömür:nün
meydanı,meydan:ı
değerlendirdi,değer:lendirdi
verebilir,ver:ebilir
şekli,şekli
demişti,de:mişti
gözlüklü,gözlük:lü
güneşleri,güneş:leri
arzulara,arzu:lara
başkasına,başkası:na
kavuşmak,kavuş:mak
yiyince,ye:iyince
gözlerimiz,göz:lerimiz
sondu,son:du
zorlukları,zor:lukları
geçiyoruz,geç:iyoruz
kızıyorlar,kız:ıyorlar
arpa,arpa
ümitle,ümit:le
delikanlı,delikanlı
şartıyla,şart:ıyla
kızıyorlardı,kız:ıyorlardı
yarısı,yarı:sı
yağıyordu,yağ:ıyordu
hepsinin,hepsi:nin
iterek,it:erek
hüner,hüner
namlar,nam:lar
karanlık,karanlık
inadına,inadına
görünce,görü:nce
ayaklarının,ayak:larının
çağrışımla,çağrışım:la
anlamıştım,anla:mıştım
yüzmekten,yüz:mekten
yapıştığını,yapış:tığını
fırsattı,fırsat:tı
edici,et:ici
mektepte,mektep:te
etleri,et:leri
bar,bar
tüpler,tüp:ler
istasyona,istasyon:a
uğraşmaya,uğraş:maya
bay,bay
dosta,dos:ta
faizi,faiz:i
okuduğum,oku:duğum
yapıyorum,yap:ıyorum
sanayii,sanayii
avutuyordum,avut:uyordum
kışın,kışın
terbiyeli,terbiye:li
bak,bak
istasyonu,istasyon:u
hoplatıyor,hopla:tıyor
bulunuyorlardı,bulun:uyorlardı
akşamda,akşam:da
etmiyormuş,et:miyormuş
mahkemeyi,mahkeme:yi
mahkemeye,mahkeme:ye
sallanıyor,salla:nıyor
mezgite,mezgit:e
mahallesindeki,mahalle:sindeki
şaşırmıştı,şaşır:mıştı
rastlamıştım,rastla:mıştım
ediyorsunuz,et:iyorsunuz
önümdeki,ön:ümdeki
gelse,gel:se
praglıyım,prag:lıyım
santimetre,santimetre
veren,ver:en
girmeyi,gir:meyi
tahta,tahta
çekeceğim,çekecek:im
istasyonla,istasyon:la
nebatat,nebatat
dişlerinin,diş:lerinin
iş,iş
kumral,kumral
miskinliği,misk:inliği
getirmişti,getir:mişti
sancıdan,sancı:dan
oğuşturarak,oğuştur:arak
berlin'de,berlin:'de
gözlerimden,göz:lerimden
bakmadım,bak:madım
uyanalı,uyan:alı
ezilmekten,ez:ilmekten
yılan,yılan
kalmanın,kal:manın
kökünde,kök:ünde
ayırmış,ayır:mış
şapkamı,şapka:mı
çoktu,çok:tu
uzaktaki,uzak:taki
düşüyordu,düş:üyordu
açtığı,aç:tığı
birikintide,birikinti:de
kararını,karar:ını
dikdörtgen,dikdörtgen
jüriye,jüri:ye
paketi,paket:i
canı,can:ı
alakamın,alaka:mın
partisiydi,parti:siydi
havalarda,hava:larda
akıbetimden,akıbet:imden
vatandan,vatan:dan
sevmemişti,sev:memişti
eniştesinin,enişte:sinin
fabrika,fabrika
bizler,bizle:r
aramak,ara:mak
söyle,söyle
falan,falan
tahsilini,tahsil:ini
fırlatılırlar,fırla:tılırlar
şıkını,şık:ını
iradesiz,irade:siz
biriydim,biri:ydim
gözünüzde,göz:ünüzde
kanala,kanal:a
olmazsa,ol:mazsa
büyükannesinin,büyükanne:sinin
direğinin,direk:inin
olalım,ol:alım
yağmura,yağmur:a
tanışacak,tanış:acak
karışıyorlardı,karış:ıyorlardı
bulamayacağımı,bula:mayacağımı
arkadaşlardan,arkadaş:lardan
şahsiyet,şahsiyet
geçmişini,geçmiş:ini
çekinmiştim,çekin:miştim
iç,iç
yağmuru,yağmur:u
basit,basit
ayak,ayak
bittiğinde,bit:tiğinde
deminden,dem:inden
şu,şu
inanmıyor,inan:mıyor
öğrettiği,öğret:tiği
unuttuğunu,unut:tuğunu
uzamış,uza:mış
layık,layık
aşağıya,aşağı:ya
bulmadığım,bul:madığım
kapılardan,kapı:lardan
şa,şa
alıyordum,al:ıyordum
muyum,mu:yum
nokta,nokta
baş,baş
mütevazı,mütevazı
hiddetle,hiddet:le
saf,saf
laflar,laf:lar
kıyıya,kıyı:ya
örtülerini,örtü:lerini
dokunuyordu,dokun:uyordu
ağzımdan,ağız:mdan
aradıklarını,ara:dıklarını
vermeliyim,ver:meliyim
bakmamıştım,bak:mamıştım
gemi,ge:mi
nispetsiz,nispet:siz
olanlar,ol:anlar
günkü,gün:kü
yanılmaya,yanıl:maya
bilmiyor,bil:miyor
görüyorsunuz,gör:üyorsunuz
yaslanarak,yasla:narak
tane,tane
fitilli,fitil:li
bilgilerini,bilgi:lerini
sözlerinden,söz:lerinden
müddetince,müddet:ince
bitirecek,bitir:ecek
sarsıntılarıyla,sarsıntı:larıyla
çizmeler,çizme:ler
söylememeyi,söyle:memeyi
meltem,meltem
yaklaştığında,yaklaş:tığında
seven,sev:en
iz,iz
tanıyan,tanı:yan
orası,ora:sı
anlatmıyor,anlat:mıyor
sımsıkı,sımsıkı
afrika'da,afrika:'da
gerekiyordu,gerek:iyordu
sakladığı,sakla:dığı
çıplak,çıplak
in,in
karamela,karamela
sever,sev:er
başlayalım,başla:yalım
korkmuştu,kork:muştu
belli,belli
tayyörü,tayyör:ü
kendimle,kendi:mle
göremezsiniz,gör:emezsiniz
hukuk,hukuk
gidermek,gider:mek
meşguldüler,meşgul:düler
vaktin,vakit:n
bilhassa,bilhassa
geliyor,gel:iyor
koşuyor,koş:uyor
tanıdıktan,tanıdık:tan
isteyebilir,iste:yebilir
taraftan,taraf:tan
edince,et:ince
elli,elli
tüylerine,tüy:lerine
ümidini,ümit:ini
tüylerini,tüy:lerini
elle,el:le
tahtı,taht:ı
vatandaş,vatandaş
açtığında,aç:tığında
kim,kim
ilerisine,ileri:sine
bacanağına,bacanak:ına
gördüğümüz,gör:düğümüz
sizsiniz,sizsiniz
sonraları,sonraları
acıkmış,acık:mış
adıydı,ad:ıydı
çalışamayacağım,çalış:amayacağım
kuyrukları,kuyruk:ları
sedasız,seda:sız
yüzlerini,yüz:lerini
bağrı,bağır
gününde,günü:nde
mantığı,mantık:ı
alkış,alkış
sallar,salla:r
ıstakozun,ıstakoz:un
sevdiğinizi,sev:diğinizi
tutamamış,tut:amamış
temayül,temayül
hadiseler,hadise:ler
yem,yem
yapılan,yapıl:an
çoraplarıyla,çorap:larıyla
makamlara,makam:lara
yapmış,yap:mış
bilemezsin,bile:mezsin
yüklenmekteydi,yükle:nmekteydi
yer,yer
ilerlemeye,ilerle:meye
olduğumu,ol:duğumu
uyanmadan,uyan:madan
yepyeni,yepyeni
kahkaha,kahkaha
alamadı,al:amadı
bulundurmam,bulundur:mam
kıskanmakta,kıskan:makta
ölmüştü,öl:müştü
diyemiyor,de:iyemiyor
elbiselerinin,elbise:lerinin
artık,artık
anlatmalıyım,anlat:malıyım
heyecanlandığını,heyecanlan:dığını
aradığınız,ara:dığınız
salyangoz,salyangoz
çorbanın,çorba:nın
perdeler,perde:ler
hardal,hardal
yukarıdan,yukarı:dan
başlar,başla:r
kayınlarım,kayın:larım
dalgacıklar,dalga:cıklar
muhtacım,muhtaç:ım
öğrenirsiniz,öğren:irsiniz
uyandıracaksınız,uyan:dıracaksınız
başparmağını,başparmak:ını
gücenmeyin,gücen:meyin
hatırlatıyordu,hatırla:tıyordu
karşılaştığım,karşılaş:tığım
yardımıyla,yardım:ıyla
tebessümüyle,tebessüm:üyle
itibariyle,itibari:yle
uydurup,uydur:up
domuzların,domuz:ların
kaplumbağalar,kaplumbağa:lar
dolaşmakta,dolaş:makta
ürperme,ürper:me
faresinin,fare:sinin
uyuyanlar,uyu:yanlar
memleketleri,memleket:leri
içmeseydim,iç:meseydim
düşünmemek,düşün:memek
aşağılıyorsun,aşağıla:ıyorsun
n'de,n:'de
lacivert,lacivert
olmalısınız,ol:malısınız
göndermiş,gönder:miş
sıçanları,sıçan:ları
ayağıyla,ayak:ıyla
nişlerimin,niş:lerimin
mektubun,mektup:un
münekkitlerin,münekkit:lerin
çarptı,çarp:tı
giymiyordu,giy:miyordu
duymak,duy:mak
yıkanacak,yıkan:acak
mezgit,mezgit
varmaz,var:maz
penceresini,pencere:sini
ziyaretinize,ziyaret:inize
iyice,iyi:ce
normal,normal
görmemişti,görmemiş:ti
varmak,var:mak
bahsettiğinden,bahset:tiğinden
gürültüden,gürültü:den
arkamı,arka:mı
veda,veda
resimleri,resim:leri
sonbahara,sonbahar:a
senelerinde,sene:lerinde
teferruattı,teferruat:tı
ruhumdan,ruh:umdan
atkıları,atkı:ları
soruyordum,sor:uyordum
belirmişti,belir:mişti
saçlarınız,saç:larınız
denedim,dene:dim
çamurlu,çamurlu
saçlarının,saç:larının
bakarsın,bak:arsın
vereceğimden,verecek:imden
kokusu,koku:su
siyah,siyah
tutuyorsunuz,tut:uyorsunuz
kovulmuş,kov:ulmuş
dönelim,dön:elim
hıçkırdı,hıçkır:dı
anılmamıştı,an:ılmamıştı
kemanı,keman:ı
uzmandır,uzman:dır
hüküm,hüküm
ihtiyacım,ihtiyaç:ım
uçuruldu,uçur:uldu
kasketli,kasket:li
havran'daki,havran:'daki
anlamasına,anla:masına
planlıyorsun,planla:ıyorsun
gerisingeriye,gerisingeriye
devirdiği,devir:diği
doğum,doğum
sabahında,sabah:ında
eksik,eksik
uyandı,uyan:dı
yaramayacağını,yara:mayacağını
akşamlarında,akşam:larında
mahallenin,mahalle:nin
kırpmıyordu,kırp:mıyordu
nikbinliğim,nikbin:liğim
sonlarına,son:larına
göğsümden,göğüs:mden
vaziyetlerde,vaziyet:lerde
tüketir,tüket:ir
bulamadığı,bula:madığı
verecek,ver:ecek
kazı,kazı
çalı,çalı
ehemmiyeti,ehemmiyet:i
pencereden,pencere:den
tepeden,tepe:den
çalışıyordu,çalış:ıyordu
bere,bere
kemikleri,kemik:leri
beri,beri
tırnakları,tırnak:ları
susmuş,sus:muş
geçirmek,geçir:mek
şaşırmamalı,şaşır:mamalı
bitmişti,bit:mişti
kıvrandırıyordu,kıvran:dırıyordu
başlayınca,başla:yınca
yazacakları,yaz:acakları
dilerim,dile:rim
terketti,terket:ti
yanımdaki,yan:ımdaki
ampullerle,ampul:lerle
zarf,zarf
bilgiye,bilgi:ye
seziyor,sez:iyor
getirdiniz,getir:diniz
askerle,asker:le
koştu,koş:tu
istikamet,istikamet
çalışacağım,çalış:acağım
anlayacaksın,anla:yacaksın
bukleler,bukle:ler
hiçbirinde,hiçbiri:nde
demişsem,de:mişsem
okutuyor,oku:tuyor
olanla,ol:anla
ahşap,ahşap
düşündüklerimin,düşün:düklerimin
ümidim,ümit:im
muzır,muzır
tebessüm,tebessüm
dediğini,de:diğini
maceralar,macera:lar
hükmedecek,hükmet:ecek
fırsatım,fırsat:ım
okuyor,oku:yor
kaldım,kal:dım
kaldın,kal:dın
duymaya,duy:maya
nargilesini,nargile:sini
kemana,keman:a
kaybolmak,kaybol:mak
dökmüştü,dök:müştü
gelmişim,gel:mişim
getirdin,getir:din
söylüyordu,söyle:üyordu
öyküsünü,öykü:sünü
istedikleri,iste:dikleri
turtası,turta:sı
gözünün,göz:ünün
yastık,yastık
ensesine,ense:sine
çek,çek
fikirden,fikir:den
ovuşturarak,ovuştur:arak
mektebi'ne,mektebi:'ne
tertemiz,tertemiz
kalacaksınız,kal:acaksınız
münasebeti,münasebet:i
bahsedildiği,bahset:ildiği
gördüğünde,gör:düğünde
işkence,işkence
göreceğimiz,gör:eceğimiz
öyledir,öyle:dir
tarifi,tarif:i
oynanan,oynan:an
ondan,onda:n
yedili,yedi:li
serildiğimi,ser:ildiğimi
bahsetmiştim,bahset:miştim
etmemiştir,et:memiştir
kapanıp,kapan:ıp
umuyordu,um:uyordu
kapanır,kapan:ır
cereyana,cereyan:a
çayla,çay:la
telefon,telefon
aldığı,al:dığı
yazdılar,yaz:dılar
şüphelerden,şüphe:lerden
büyük,büyük
hamdi,hamdi
mağazanın,mağaza:nın
etmediği,et:mediği
vehim,vehim
yakalı,yak:alı
sızıyordu,sız:ıyordu
yazılar,yazı:lar
düşüncesi,düşünce:si
düşkünü,düşkü:nü
tepeye,tepe:ye
gerçekleştiği,gerçekleş:tiği
göstermesine,göster:mesine
baktınız,bak:tınız
kıpırtısından,kıpırtı:sından
dil,dil
din,din
giderdik,gider:dik
dönen,dön:en
müsavi,müsavi
dik,dik
şişe,şişe
yemeliydi,ye:meliydi
tekrarını,tekrar:ını
başınızı,baş:ınızı
olursam,olur:sam
sürede,süre:de
diz,diz
döner,döner
katlanıyordum,katlan:ıyordum
ayı,ayı
yerleştirmiş,yerleş:tirmiş
çıkılacağını,çık:ılacağını
infial,infial
duruşma,duruşma
bahçıvanın,bahçıvan:ın
almandır,alman:dır
deliyiz,deli:yiz
salonun,salon:un
gelip,gel:ip
edecektim,et:ecektim
doğruydu,doğru:ydu
deliyim,deli:yim
beğenirim,beğen:irim
yazılanlarda,yaz:ılanlarda
edeceksem,et:eceksem
hususi,hususi
pudralı,pudra:lı
gizliye,gizli:ye
yapamam,yap:amam
karşılanmadım,karşı:lanmadım
bıkkınlığının,bıkkın:lığının
sobaya,soba:ya
kapladı,kapla:dı
nasıl,nasıl
görmez,gör:mez
yazdığım,yaz:dığım
arkasından,arka:sından
yanıtlanması,yanıtla:nması
çevirerek,çevir:erek
hayattan,hayat:tan
anlaşamayacağımızı,anlaş:amayacağımızı
geldiğimden,gel:diğimden
köprüde,köprü:de
görmek,gör:mek
söylüyormuş,söyle:yormuş
hududu,hudut:u
yanaşıp,yanaş:ıp
sorarak,sor:arak
tutuşturarak,tutuştur:arak
geçiyor,geç:iyor
yanılmaz,yanıl:maz
koşmaya,koş:maya
menettiğim,menet:tiğim
etmeyecekti,et:meyecekti
gazinosunun,gazino:sunun
göründüğünde,gör:ündüğünde
yemediğini,ye:mediğini
derin,derin
derim,deri:m
alto,alto
boy,boy
insan,insan
krala,kral:a
takımlar,takım:lar
bot,bot
içkiden,içki:den
vakaları,vaka:ları
denedi,dene:di
kurtulmayı,kurtul:mayı
bol,bol
haksızlıkları,hak:sızlıkları
derenin,dere:nin
akrabalarımıza,akraba:larımıza
çıkıyordu,çık:ıyordu
bitirinceye,bitir:inceye
çenemdeki,çene:mdeki
sırasının,sıra:sının
eriştiği,eriş:tiği
marpucu,marpuç:u
tarıyor,tara:yor
söylerdi,söyle:rdi
satmış,sat:mış
günlerinden,gün:lerinden
kayak,kayak
fenalık,fena:lık
istiyormuş,iste:yormuş
kayan,kayan
pişirmeyin,pişir:meyin
oturanı,otur:anı
kolaydı,kolay:dı
acıktığını,acık:tığını
demiştin,de:miştin
karides,karides
gelmektense,gel:mektense
ayırmamıştı,ayır:mamıştı
yüklemenin,yükle:menin
unuttuğum,unut:tuğum
etmeyişim,et:meyişim
bekledikten,bekle:dikten
peri,peri
kuyruklarını,kuyruk:larını
gramofon,gramofon
bazan,bazan
çıkıncaya,çıkın:caya
ederdim,et:erdim
sevdiğim,sev:diğim
çini,çini
kartondan,karton:dan
bulunmadığı,bulun:madığı
toparlayarak,toparla:yarak
ifadenin,ifade:nin
dinlemiyorsun,dinle:miyorsun
kurtuluyor,kurtul:uyor
gelmedi,gel:medi
tebarüz,tebarüz
bakışlarında,bakış:larında
üzerimde,üzer:imde
tepsi,tepsi
aydınlattığı,aydınlat:tığı
çizdiği,çiz:diği
görmüyorum,gör:müyorum
fısıldıyordu,fısılda:yordu
amirim,amir:im
yazı,yazı
tutuyorlardı,tut:uyorlardı
çağırmak,çağır:mak
gelmişti,gel:mişti
anlaşılmış,anlaş:ılmış
müzakereye,müzakere:ye
hisle,his:le
yakala,yakala
kimse,kimse
anımsamıyorsam,anımsa:mıyorsam
uzandığım,uzan:dığım
eğrilmiş,eğril:miş
makine,maki:ne
biter,bit:er
savunarak,savun:arak
ümitten,ümit:ten
sızdığını,sız:dığını
koşmayı,koş:mayı
iyidir,iyi:dir
yapabilse,yap:abilse
noktada,nokta:da
bıyıkları,bıyık:ları
esneyerek,esne:yerek
güvenemeyeceğim,güven:emeyeceğim
hürmet,hürmet
mütarekeden,mütareke:den
isteyerek,iste:yerek
büyükannesi,büyükanne:si
yediğimiz,ye:diğimiz
daktilolara,daktilo:lara
önemi,önem:i
uzaklaştırıyor,uzaklaş:tırıyor
geçmiyordu,geç:miyordu
çocuğunun,çocuk:unun
telakkilerim,telakki:lerim
ondüleli,ondüle:li
raya,ra:ya
modası,moda:sı
ışıldayan,ışılda:yan
kralı,kral:ı
küçümsüyordum,küçümse:yordum
konuşmasıydı,konuş:masıydı
bilmeyiz,bil:meyiz
altı,altı
buna,buna
hareketimin,hareket:imin
düşünmeye,düşün:meye
boş,boş
düşünmeyi,düşün:meyi
paralı,paralı
harikalar,harika:lar
tefsir,tefsir
görüntüleri,görüntü:leri
kelimelerle,kelime:lerle
paralarına,para:larına
oyalanmadan,oyala:nmadan
yerlere,yer:lere
artıyordu,art:ıyordu
kurnaz,kurnaz
mal,mal
tanesiyle,tane:siyle
yerleştirirken,yerleş:tirirken
ezilmeden,ez:ilmeden
başardı,başar:dı
yavru,yavru
tombulca,tombul:ca
sergi,sergi
kamçı,kamçı
basmamış,bas:mamış
edemiyordum,edeme:yordum
sobayı,soba:yı
yaldızlı,yaldız:lı
kulak,kulak
duramıyor,dur:amıyor
girecekmiş,gir:ecekmiş
büyüyecek,büyü:yecek
alarak,al:arak
etmekte,et:mekte
kürkleri,kürk:leri
vestiyerden,vestiyer:den
gören,gör:en
iyisin,iy:isin
aranıyordu,aran:ıyordu
isteyelim,iste:yelim
beyefendinin,beyefendi:nin
tanesi,tane:si
kiminle,kimi:nle
gözlerinden,göz:lerinden
şuradaki,şura:daki
farketmedi,farket:medi
mantarı,mantar:ı
anlayamamıştı,anla:yamamıştı
dönmemi,dönme:mi
ağacının,ağaç:ının
uyutmayı,uyu:tmayı
gramofonu,gramofon:u
kağıdı,kağıt:ı
fişeklikler,fişek:likler
klasiklerin,klasik:lerin
telgrafı,telgraf:ı
noksanları,noksan:ları
haricinde,hariç:inde
ahmak,ahmak
yanmamıştı,yan:mamıştı
anlamıyordum,anla:mıyordum
sarılmasının,sar:ılmasının
ümitlerimi,ümit:lerimi
hokkabaz,hokkabaz
gürültülü,gürültü:lü
birbirine,birbir:ine
nihayet,nihayet
doğruysa,doğru:ysa
aralandı,ara:landı
sebeplerle,sebep:lerle
acıdığınızı,acı:dığınızı
yanar,yan:ar
sarktı,sark:tı
gülmekten,gül:mekten
elleri,el:leri
etmemeli,et:memeli
bavul,bavul
beklediler,bekle:diler
hiddetin,hiddet:in
yanan,yan:an
dipte,dip:te
yükseltiyor,yüksel:tiyor
değildiniz,değil:diniz
başkalarından,başka:larından
adres,adres
kalkmıyor,kalk:mıyor
formülleri,formül:leri
bayılmaya,bayıl:maya
yaptığımız,yap:tığımız
mecbursak,mecbur:sak
otların,ot:ların
odada,oda:da
baktığı,bak:tığı
tıraş,tıraş
inandım,inan:dım
göstermişti,göster:mişti
ömrümüzü,ömür:müzü
oturumu,oturum:u
kesinlikle,kesin:likle
kımıldamıyordu,kımılda:mıyordu
ufak,ufak
görevlileri,görev:lileri
cheshire,cheshire
söylemesi,söyle:mesi
üyeleridir,üye:leridir
diyebilirim,de:yebilirim
haydi,haydi
dönmeye,dön:meye
varacağı,var:acağı
vurarak,vur:arak
kanepeye,kanepe:ye
cevabı,cevap:ı
ardından,art:ından
döneminin,dönem:inin
meselelerinden,mesele:lerinden
çağırdığını,çağır:dığını
dişbudak,dişbudak
çöküyordu,çök:üyordu
endişelenmeye,endişelen:meye
seyrediyordum,seyret:iyordum
sahifeleri,sahife:leri
çekip,çek:ip
talebenin,talebe:nin
etmenizi,et:menizi
kıpırdayamadığı,kıpırda:yamadığı
kanaatleri,kanaat:leri
denizde,deniz:de
parka,park:a
ötesindeymiş,öte:sindeymiş
hissetmiyorum,hisset:miyorum
ötede,öte:de
burukluğundan,burukluk:undan
desteğe,destek:e
yaşamakta,yaşa:makta
bakalım,bak:alım
istihfafları,istihfaf:ları
öfkeli,öfke:li
korktuğunuz,kork:tuğunuz
toprağın,toprak:ın
edersiniz,et:ersiniz
elime,el:ime
derece,derece
elimi,elim:i
bağlarla,bağ:larla
itizar,itizar
güldüm,gül:düm
hakkın,hak:kın
örtülerin,örtü:lerin
hakkım,hak:kım
yatma,yat:ma
mevlit,mevlit
tabiatımın,tabiat:ımın
hoşlanıyordu,hoşlan:ıyordu
geldiğimi,gel:diğimi
weber'le,weber:'le
dermansızlık,derman:sızlık
yazılmış,yaz:ılmış
yorulmadan,yor:ulmadan
yoklamaya,yokla:maya
komisyonculuğu,komisyon:culuğu
söyledikleri,söyle:dikleri
nezaket,nezaket
sızlatıyor,sızla:tıyor
anladığınız,anla:dığınız
yapamayacağımı,yap:amayacağımı
başvurdum,başvur:dum
kesmemeye,kes:memeye
aşı,aşı
galerilerdeki,galeri:lerdeki
bildiğiniz,bil:diğiniz
ürkmüş,ürk:müş
öpebilir,öp:ebilir
sabahları,sabahları
değiştirmeliydi,değiş:tirmeliydi
kaybetti,kaybet:ti
yakışmayan,yakış:mayan
üretiyordu,üret:iyordu
geçtim,geç:tim
uzatmalarını,uzat:malarını
hoplayarak,hopla:yarak
doldurmamıştım,doldur:mamıştım
zamankinden,zaman:kinden
mevcuttu,mevcut:tu
yaprağını,yaprak:ını
mantara,mantar:a
unutamayacağını,unut:amayacağını
çağırdınız,çağır:dınız
sivriceydi,sivri:ceydi
aramam,ara:mam
ekmek,ekmek
alıver,al:ıver
geldim,gel:dim
uğraşacak,uğraş:acak
kabinleri,kabin:leri
zili,zil:i
zile,zil:e
delirmemişti,delir:memişti
efendinin,efendi:nin
metreden,metre:den
yetişmiyor,yetiş:miyor
sulh,sulh
paltosunu,palto:sunu
bağırarak,bağır:arak
bahçıvan,bahçıvan
oturuşlarımızı,otur:uşlarımızı
gösterilmemiştir,göster:ilmemiştir
zannedilen,zannet:ilen
rutubetli,rutubet:li
yatakta,yatak:ta
birleştiren,birleş:tiren
uçma,uç:ma
buluşum,buluş:um
orada,ora:da
bahçıvanların,bahçıvan:ların
giydiğini,giy:diğini
olabilirsin,ol:abilirsin
duyuyordum,duy:uyordum
düşünmüş,düşün:müş
yapılacak,yap:ılacak
norman,norman
ıslanmış,ıslan:mış
öfkeyle,öfke:yle
yelek,yelek
sürüyordu,sür:üyordu
alınabilirdi,alın:abilirdi
yapabiliriz,yap:abiliriz
taktı,takt:ı
sersem,sersem
artırmıştı,artır:mıştı
denmesinin,de:nmesinin
halkıyla,halk:ıyla
arkadaşlıkta,arkadaş:lıkta
durmuştu,dur:muştu
otuz,otuz
içindeymiş,iç:indeymiş
otur,otur
hakkımda,hak:kımda
hayatta,hayat:ta
lüks,lüks
planımın,plan:ımın
bayım,bay:ım
bulmasını,bulma:sını
mahzur,mahzur
getirmedim,getir:medim
kabalık,kaba:lık
trenin,tren:in
kuvvetine,kuvvet:ine
mahsul,mahsul
kuvvetini,kuvvet:ini
dürtülmüş,dürt:ülmüş
hissediyor,hisset:iyor
gösterdiklerini,göster:diklerini
süratlendi,süratlen:di
benzedi,benze:di
söylenmiş,söylen:miş
roket,roket
sıyırıp,sıyır:ıp
civarında,civar:ında
fena,fena
karşılıyordum,karşıla:yordum
köşeyi,köşe:yi
inliyor,inle:yor
köşeye,köşe:ye
beklemek,bekle:mek
güçlük,güçlük
kapadı,kapa:dı
sitem,site:m
endişeyle,endişe:yle
alkışladı,alkışla:dı
ciddileşir,ciddi:leşir
ihmal,ihmal
giriyordu,gir:iyordu
tavşanın,tavşan:ın
uyanacağımı,uyan:acağımı
dayımın,day:ımın
üyesine,üye:sine
koridorları,koridor:ları
resmimiz,resim:miz
içeride,içeri:de
iskemlesinden,iskemle:sinden
cesaretimi,cesaret:imi
hayretle,hayretle
sabırsızlanarak,sabırsızlan:arak
derken,derk:en
gel,gel
kafasına,kafa:sına
tavsiyelerle,tavsiye:lerle
dönebilirim,dön:ebilirim
alamıyordum,al:amıyordum
ortalara,orta:lara
portresi,portre:si
hizmetçiler,hizmetçi:ler
atıyor,ata:yor
yarattığı,yarat:tığı
iliştim,iliş:tim
uyanmaya,uyan:maya
sağa,sağ:a
hastayı,hasta:yı
olsaydınız,ol:saydınız
