açtı,aç:tı
şimdilik,şimdi:lik
demek,de:mek
birbirine,birbir:ine
soyunma,soyun:ma
atarak,at:arak
değerlendirme,değer:lendirme
işitmediği,işit:mediği
çift,çift
tadını,tat:ını
kullandı,kullan:dı
düşündükten,düşün:dükten
defterini,defter:ini
yerleştirmezse,yerleş:tirmezse
kaldırın,kaldır:ın
yaparım,yap:arım
kaplıdır,kaplı:dır
kabul,kabul
klasik,klasik
yaşını,yaş:ını
baba,baba
hoşlanıp,hoşlan:ıp
tersiyle,ters:iyle
zincirle,zincirle
el,el
gelmezdin,gel:mezdin
atmadı,at:madı
domuza,domuz:a
görmemişti,görmemiş:ti
şu,şu
çömelmeye,çömel:meye
olanlara,ol:anlara
söz,söz
içine,için:e
ellerine,el:lerine
aradığını,ara:dığını
dalaşı,dalaş:ı
cılız,cılız
öyleyse,öyle:yse
musun,mu:sun
bukle,bukle
şöminenin,şömine:nin
sürede,süre:de
baktılar,bak:tılar
mutfağa,mutfak:a
omuz,omuz
şapkacıydı,şapka:cıydı
durduğunu,dur:duğunu
anlık,anlık
tahtasında,tahta:sında
kedimizdir,kedi:mizdir
daha,daha
başta,baş:ta
istiyorsan,iste:iyorsan
duran,dur:an
kuruduklarında,kuru:duklarında
uyarının,uyarı:nın
kalmıştı,kal:mıştı
dansa,dans:a
ulaştı,ulaş:tı
dizdiğinin,diz:diğinin
şunu,şu:nu
tepetaklak,tepetaklak
yapamazsın,yap:amazsın
kesilen,kes:ilen
boğuldu,boğ:uldu
derslerde,ders:lerde
aldırmaksızın,aldır:maksızın
toplanıp,toplan:ıp
üzere,üzere
köpeklerden,köpek:lerden
mercia,merci:a
fazlalık,fazla:lık
düşüş,düş:üş
anlattığı,anlat:tığı
bence,ben:ce
dinlemek,dinle:mek
önce,önce
mutlu,mutlu
flamingo,flamingo
aklı,akıl:ı
kullanmak,kullan:mak
edeceksem,et:eceksem
hayvan,hayvan
yardımcı,yardım:cı
çalışarak,çalış:arak
bunları,bun:ları
belli,belli
pencereye,pencere:ye
isimleri,isim:leri
merdivenlerden,merdiven:lerden
resimlerindekine,resim:lerindekine
destesi,deste:si
saçmalarını,saçma:larını
getirmiş,getir:miş
planlamaya,planla:maya
trenle,tren:le
yönelen,yönel:en
bakıyor,bak:ıyor
bahaneyle,bahane:yle
ayın,ayın
okudu,oku:du
kirpilerin,kirpi:lerin
kendinden,kendi:nden
gördüğüm,gör:düğüm
önünde,ön:ünde
işitildi,işit:ildi
gerektiği,gerek:tiği
girerim,gir:erim
değerlendirdiğinde,değer:lendirdiğinde
masalları,masal:ları
yaşmak,yaşmak
gidecek,git:ecek
yana,yan:a
fırdöndü,fırdöndü
gel,gel
yapmaya,yapma:ya
ötesinde,öte:sinde
cızırdayan,cızırda:yan
bacaklarından,bacak:larından
tutuklunun,tutuklu:nun
işim,iş:im
çaresizlikle,çare:sizlikle
teslim,teslim
hayvanın,hayvan:ın
söylemiştim,söyle:miştim
bahçıvanları,bahçıvan:ları
olmamıştı,ol:mamıştı
geç,geç
kaptı,kap:tı
konuşmayı,konuş:mayı
parçası,parça:sı
biriktiğini,birik:tiğini
zorlukları,zor:lukları
düşecek,düş:ecek
çıkıyordu,çık:ıyordu
eldivenlerle,eldiven:lerle
sormuş,sor:muş
uykuya,uyku:ya
duyarak,duy:arak
aksırması,aksır:ması
yaşındaki,yaş:ındaki
yastık,yastık
davranılacağını,davran:ılacağını
melankolik,melankolik
olanca,olanca
küçülmeye,küçül:meye
okumadın,oku:madın
döneminin,dönem:inin
gözlerinden,göz:lerinden
şirin,şirin
görmüştüm,gör:müştüm
tıkılmaları,tık:ılmaları
soğanı,soğan:ı
mutluluklar,mutlu:luklar
mahkum,mahkum
olması,ol:ması
toplandı,toplan:dı
minicik,mini:cik
istiyor,iste:iyor
yapabilse,yap:abilse
gidiyor,git:iyor
şapkacıya,şapka:cıya
küstahlığı,küstah:lığı
kulağı,kulak:ı
mırıldandı,mırıldan:dı
farenin,fare:nin
çaldı,çal:dı
söylediler,söyle:diler
hardal,hardal
yarama,yara:ma
küçümseyerek,küçümse:yerek
yapanı,yap:anı
çılgın,çılgın
ilerlemeye,ilerle:meye
arkadaşı,arkadaş:ı
boy,boy
içindeki,içinde:ki
sorulmuştu,sor:ulmuştu
geceyle,gece:yle
başınızı,baş:ınızı
yükseltti,yüksel:tti
ayakkabıların,ayakkabı:ların
olabileceğini,ol:abileceğini
kralın,kral:ın
uyku,uyku
gölgede,gölge:de
gitmeleridir,git:meleridir
adres,adres
kavanozun,kavanoz:un
çocukluğunu,çocuk:luğunu
eğitimi,eğitim:i
kafanız,kafa:nız
krize,kriz:e
da,da
uzaklaşmaya,uzak:laşmaya
gözlemek,gözle:mek
bırakabiliyorlardı,bırak:abiliyorlardı
hele,hele
irkilerek,irkil:erek
anlamaya,anla:maya
uzmandır,uzman:dır
zayıf,zayıf
oğlunu,oğul:unu
kaç,kaç
karides,karides
biliyorum,bil:iyorum
birileri,birileri
peşe,peş:e
düşünecek,düşün:ecek
kızkardeşin,kızkardeş:in
avazı,avaz:ı
kadın,kadın
koskocaman,koskocaman
yap,yap
bilmeceler,bilmece:ler
görünmüyorlardı,gör:ünmüyorlardı
hakimsiz,hakim:siz
layık,layık
mors,mors
pullu,pul:lu
önermeyi,öner:meyi
diyelim,diye:lim
beğendiğim,beğen:diğim
onsuz,ons:uz
ediyorsunuz,et:iyorsunuz
sandı,san:dı
yüzmeyi,yüzme:yi
neyin,ney:in
kanıtlayamazlar,kanıtla:yamazlar
neresinden,nere:sinden
sallar,salla:r
çıkarılacak,çıkar:ılacak
demişti,de:mişti
dikkat,dikkat
şarkısını,şarkı:sını
talihsiz,talih:siz
kendisinin,kendi:sinin
alaylar,alay:lar
çevresine,çevre:sine
utanmalısın,utan:malısın
ermeyecek,er:meyecek
çıkış,çıkış
karlı,kar:lı
aslanın,aslan:ın
alıp,al:ıp
hava,hava
alır,al:ır
kişiydiler,kişi:ydiler
zamanla,zamanla
miydi,mi:ydi
fare,fare
tırmandı,tırman:dı
benzediğini,benze:diğini
işittim,işit:tim
kişi,kişi
sallıyordu,salla:ıyordu
sallandırdı,salla:ndırdı
kafalısın,kafa:lısın
görünüp,gör:ünüp
arkaya,arka:ya
hangi,hangi
kraliçeye,kraliçe:ye
sanıyorsun,san:ıyorsun
uykusu,uyku:su
bitirecek,bitir:ecek
kim,kim
kuryenin,kurye:nin
kalabalıklaşıyordu,kalabalık:laşıyordu
ermesinden,er:mesinden
ağzını,ağız:ını
camdan,cam:dan
kavuşturup,kavuş:turup
savunarak,savun:arak
boylama,boylam:a
başından,baş:ından
kalkmadı,kalk:madı
ağzından,ağız:ından
küçücük,küçücük
düşürdü,düşür:dü
sizlere,siz:lere
olacağına,ol:acağına
güneşi,güneş:i
sansarların,sansar:ların
oyunları,oyun:ları
çocuklarla,çocuk:larla
gözleriyle,göz:leriyle
arı,arı
başlayamamıştım,başla:yamamıştım
konuşmayız,konuş:mayız
akşam,akşam
konuşmayan,konuş:mayan
gecikmenin,gecik:menin
çöreğin,çörek:in
şaşkına,şaşkın:a
kırıklığına,kırık:lığına
ağır,ağır
başlama,başla:ma
değiştirerek,değiş:tirerek
etrafta,etraf:ta
havladı,havla:dı
bıraktı,bırak:tı
bilgisine,bilgi:sine
beklemeden,bekleme:den
dallara,dal:lara
ekmekle,ekmek:le
alkışladı,alkışla:dı
dönüyorsunuz,dön:üyorsunuz
sevgi,sevgi
şimdiki,şimdi:ki
çatıp,çat:ıp
oğuşturdu,oğuştur:du
boşalttığı,boşalt:tığı
ağlamayı,ağla:mayı
ada,ada
yediklerinin,yed:iklerinin
yolun,yol:un
büyümüştü,büyü:müştü
kesin,kesin
bitirmemiştim,bitir:memiştim
anda,and:a
yöntem,yöntem
krizalit,krizalit
cam,cam
tamamı,tamam:ı
ağızlarına,ağız:larına
dili,dil:i
uçuruldu,uçur:uldu
kolaydır,kolay:dır
yumrukladı,yumrukla:dı
buluvermek,bul:uvermek
top,top
çeker,çeker
görebilirim,gör:ebilirim
işitmeden,işit:meden
konserde,konser:de
matince,mat:ince
oturan,otur:an
bulabilirsin,bul:abilirsin
tarafım,taraf:ım
getirmek,getir:mek
açıkla,açıkla
oynadıklarını,oyna:dıklarını
kaldım,kal:dım
çorbası,çorba:sı
dirseklerini,dirsek:lerini
hoplatıyor,hopla:tıyor
alışırsın,alış:ırsın
izin,izin
görevlileri,görev:lileri
bizi,biz:i
gerçekleştiği,gerçekleş:tiği
bitmiş,bit:miş
yiyince,ye:iyince
mezgit,mezgit
derli,derli
peş,peş
kaldırılmalı,kaldır:ılmalı
kola,kola
kaldırdı,kaldır:dı
çıkarken,çıkar:ken
sallayıp,salla:yıp
yapıyordunuz,yap:ıyordunuz
cesaretine,cesaret:ine
giderek,git:erek
korkardım,kork:ardım
kaybolmayın,kaybol:mayın
ettiler,et:tiler
saldırgan,saldırgan
kalkarak,kalk:arak
yengeç,yengeç
kaçıran,kaçır:an
roket,roket
tabağın,tabak:ın
beğendiğimi,beğen:diğimi
istemedim,iste:medim
geçinirsen,geçin:irsen
ve,ve
kılçık,kılçık
değneğe,değnek:e
haberci,haber:ci
kraliçenin,kraliçe:nin
fırsatım,fırsat:ım
demem,de:mem
kötüydü,kötü:ydü
geçtiği,geç:tiği
sorun,sorun
yerlere,yer:lere
yaprakları,yaprak:ları
tanığı,tanık:ı
sarstı,sars:tı
şey,şey
olurlar,ol:urlar
sayarak,say:arak
masa,masa
çıngıraklarıyla,çıngırak:larıyla
irkilen,irkil:en
kasvetli,kasvet:li
saldırıyı,saldırı:yı
şarkısına,şarkı:sına
kulağıyla,kulak:ıyla
koyduğunu,koy:duğunu
anlamıştı,anla:mıştı
kısmını,kısım:ını
dedi,de:di
musunuz,mu:sunuz
yaşlı,yaşlı
sağlayamadılar,sağla:yamadılar
demedim,de:medim
gelse,gel:se
hissediyordu,hisset:iyordu
şiirini,şiir:ini
eskisi,eski:si
canım,can:ım
marpucu,marpuç:u
söyleme,söylem:e
salondan,salon:dan
şeye,şey:e
tavalar,tava:lar
esintisinin,esinti:sinin
okumak,oku:mak
tatmaya,tat:maya
duyar,duyar
kafan,kafa:n
açmakta,aç:makta
verdim,verdi:m
yadırgadı,yadırga:dı
mezgite,mezgit:e
koyuldular,koy:uldular
kazanın,kazan:ın
açıldı,açıl:dı
uykulu,uyku:lu
nesin,ne:sin
geçip,geç:ip
biliyorsun,bil:iyorsun
merdivenden,merdiven:den
atabilirim,at:abilirim
kaybol,kaybol
gerekir,gerek:ir
aldı,al:dı
almam,al:mam
geçirmezdim,geçir:mezdim
atarsın,ata:rsın
kural,kural
topladı,topla:dı
aksırma,aksır:ma
yaklaştı,yaklaş:tı
geziniyor,gezin:iyor
içinde,içinde
olağan,olağan
umardım,umar:dım
bakın,bakın
sapan,sapan
sıkıldım,sıkıl:dım
sorduğumda,sor:duğumda
görünmüyordu,gör:ünmüyordu
fırtına,fırtına
taraftaki,taraf:taki
işitti,işit:ti
yeniden,yeni:den
sapı,sap:ı
konusunda,konu:sunda
na,na
kurbağa,kurbağa
dostum,dost:um
kaybolursun,kaybol:ursun
baktığı,bak:tığı
saçlarını,saç:larını
tekrar,tekrar
becerdim,becer:dim
yelpazeyi,yelpaze:yi
hatırladı,hatırla:dı
uzaklara,uzak:lara
temiz,temiz
bakışlarında,bakış:larında
fikrim,fikir:im
anlamazsın,anla:mazsın
ummuştu,um:muştu
gözyaşlarına,gözyaş:larına
mineral,mineral
izlenime,izlenim:e
yatmanın,yat:manın
saatler,saat:ler
susup,sus:up
bilmiyordur,bil:miyordur
çenesini,çene:sini
denemek,dene:mek
neler,ne:ler
yapacak,yap:acak
etmiyor,et:miyor
girmemiş,gir:memiş
ilgilenmesidir,ilgilen:mesidir
kutusu,kutu:su
ayağı,ayak:ı
saçılmanın,saç:ılmanın
koridordan,koridor:dan
mısınız,mısınız
yüzünden,yüz:ünden
sebep,sebep
tahtlarında,taht:larında
oku,oku
koşup,koş:up
sıralarını,sıra:larını
havuzdan,havuz:dan
düşlerini,düş:lerini
yanıtladılar,yanıtla:dılar
bakabilirsiniz,bak:abilirsiniz
hoşlanmadığınızı,hoşlan:madığınızı
etkin,etkin
cinayet,cinayet
tekrarlatmaya,tekrarla:tmaya
sırasının,sıra:sının
ayıklayan,ayıkla:yan
ahmaksın,ahmak:sın
bulunmuş,bulun:muş
sormazsanız,sor:mazsanız
geldiğinde,gel:diğinde
bulamadığı,bula:madığı
herhangi,herhangi
müddet,müddet
taşlardan,taş:lardan
hepsini,hepsi:ni
aslında,asıl:ında
birer,birer
karanlıktı,karanlık:tı
anlamadığını,anla:madığını
hissediyorsun,hisset:iyorsun
olmasından,ol:masından
kaydı,kayt:ı
kelebeğe,kelebek:e
yılda,yıl:da
herhalde,herhalde
özenle,özen:le
farkında,farkında
çözüme,çözüm:e
hey,hey
üyelerinin,üye:lerinin
hikaye,hikaye
ucunda,uç:unda
hamleler,hamle:ler
gidersem,gider:sem
mıydın,mıydın
susturuldu,sustur:uldu
huyluya,huy:luya
geliyorlardı,gel:iyorlardı
yazmadım,yazma:dım
getirecektim,getir:ecektim
bakar,bak:ar
yüzüyor,yüz:üyor
haklısın,hak:lısın
atarım,ata:rım
yeni,yeni
öğretmek,öğret:mek
tanıdığı,tanıdık:ı
düşteymiş,düş:teymiş
kağıdından,kağıt:ından
derdi,dert:i
etti,et:ti
hukukla,hukuk:la
ilgilense,ilgilen:se
aşçıya,aşçı:ya
çıkardığı,çıkar:dığı
kopardı,kopar:dı
indirmiş,indir:miş
yaşı,yaş:ı
keyifle,keyif:le
kapı,kapı
listesini,liste:sini
şeyden,şey:den
anlayamadı,anla:yamadı
yanıt,yanıt
kalabalık,kalabalık
korkak,korkak
turta,turta
yerim,yer:im
kaybetmemenin,kaybet:memenin
dün,dün
bulmak,bul:mak
sabırsızlanarak,sabırsızlan:arak
amma,amma
ayağının,ayak:ının
birisinin,birisi:nin
geldiğini,gel:diğini
birinden,biri:nden
söyleyin,söyle:yin
eğilmek,eğil:mek
çalışkan,çalışkan
hayvanı,hayvan:ı
dakika,dakika
ocağın,ocak:ın
bahtsız,baht:sız
hışırdayacak,hışırda:yacak
saatin,saat:in
gidemem,git:emem
beyle,bey:le
girdi,girdi
zevki,zevk:i
yanıtladı,yanıtla:dı
alkışlama,alkışla:ma
davranırsa,davran:ırsa
zamanım,zaman:ım
durumdayım,durum:dayım
peruk,peruk
papatyalardan,papatya:lardan
eldivenler,eldiven:ler
inebilirsin,in:ebilirsin
zeki,zeki
olmadığını,olmadık:ını
majestelerinin,majeste:lerinin
yetişecek,yetiş:ecek
yıkayabilmek,yıka:yabilmek
deliğinden,delik:inden
ediyorsa,et:iyorsa
olmadı,ol:madı
giymeden,giy:meden
peşinden,peşin:den
marie,marie
kesilmek,kes:ilmek
ayakları,ayak:ları
karışmıştı,karış:mıştı
ulaştıklarında,ulaş:tıklarında
aldırmam,aldır:mam
verilsin,ver:ilsin
ağızlarını,ağız:larını
kahvaltılarını,kahvaltı:larını
dirseğini,dirsek:ini
tembelin,tembel:in
ağladığı,ağla:dığı
çalıştırmam,çalış:tırmam
delilik,delil:ik
kurtarır,kurtar:ır
yağ,yağ
fareyle,fare:yle
dinleyecek,dinle:yecek
sürekli,sürekli
yaşamaya,yaşama:ya
sevecenlikle,sevecen:likle
dalında,dal:ında
değişmesi,değiş:mesi
rahat,rahat
dediniz,de:diniz
soğan,soğan
tıkırtısı,tıkırtı:sı
korkutmuştu,korkut:muştu
bullak,bullak
dudaklarına,dudak:larına
dinahcığım,dinah:cığım
bulabildiği,bul:abildiği
kalacağım,kal:acağım
bitirmeden,bitir:meden
bakmadan,bak:madan
yükseldi,yüksel:di
kimim,kimi:m
küçülüyordu,küçül:üyordu
fısıltılar,fısıltı:lar
içtenlikle,içten:likle
başkentidir,başkent:idir
kapalı,kapalı
ıstakoz,ıstakoz
bacadan,baca:dan
parçanın,parça:nın
ekseni,eksen:i
konuşuyorum,konuş:uyorum
çağırıldığımda,çağır:ıldığımda
karşımdan,karşı:mdan
benzer,benzer
arpa,arpa
defol,defol
göstermiyor,göster:miyor
adıydı,ad:ıydı
olağanüstü,olağanüstü
dayamışlar,daya:mışlar
durumum,durum:um
küçüktü,küçük:tü
sevmem,sev:mem
bunlardan,bun:lardan
söylüyorum,söyle:üyorum
içeriden,içeri:den
oyunun,oyun:un
yaklaşmakta,yaklaş:makta
çıkmak,çık:mak
kulağının,kulak:ının
kafamı,kafa:mı
geliyorum,gel:iyorum
galiba,galiba
bahçıvanların,bahçıvan:ların
üstünü,üstün:ü
basarak,bas:arak
kaçtı,kaç:tı
gözden,gözde:n
çağırıyor,çağır:ıyor
çalı,çalı
üyeleri,üye:leri
elinde,el:inde
tutulmuş,tut:ulmuş
çeneni,çene:ni
duruşma,duruşma
kuşlar,kuş:lar
hoşlanmıyor,hoşlan:mıyor
kıvırıp,kıvır:ıp
vıı,vıı
etraftaki,etraf:taki
oynuyorlardı,oyna:uyorlardı
sesler,sesle:r
süre,süre
isteniyor,iste:niyor
hiçbir,hiçbir
hissedeceksiniz,hisset:eceksiniz
istersiniz,iste:rsiniz
içmem,iç:mem
yapmam,yapma:m
döndüğünü,dön:düğünü
yazdığımı,yaz:dığımı
yapabileceğine,yap:abileceğine
hışırdadı,hışırda:dı
çünkü,çünkü
düşünüyor,düşün:üyor
kaybedecek,kaybet:ecek
hay,hay
asla,asla
duymaya,duy:maya
yaklaştığında,yaklaş:tığında
bastırmaya,bastır:maya
düşünsenize,düşün:senize
öpebilir,öp:ebilir
sicimle,sicim:le
düşünmemiştim,düşün:memiştim
ettiğini,et:tiğini
duydum,duy:dum
ilgilen,ilgilen
ağız,ağız
çözebilirim,çöz:ebilirim
pansiyon,pansiyon
yetenekli,yetenek:li
dinlediğin,dinle:diğin
güven,güven
tırnakları,tırnak:ları
parladı,parla:dı
hem,hem
becerebildiği,becer:ebildiği
şaşırmadı,şaşır:madı
algılarla,algı:larla
çığlık,çığlık
açılıyordu,açıl:ıyordu
girsem,gir:sem
gittiğinde,git:tiğinde
burnunu,burun:unu
çarpıtma,çarpıt:ma
masaları,masa:ları
yakala,yakala
mırıldama,mırıl:dama
rüzgarla,rüzgar:la
istersen,iste:rsen
savurduktan,savur:duktan
beşinci,beş:inci
umutla,umut:la
bahsetmişsin,bahset:mişsin
sırtları,sırt:ları
sabrı,sabır:ı
olsaydım,ol:saydım
kraliçelerden,kraliçe:lerden
yeteri,yeter:i
rafları,raf:ları
bakıp,bak:ıp
razı,razı
geçerken,geçer:ken
vaya,vay:a
kedi,kedi
atamamış,ata:mamış
başka,başka
oğluna,oğul:una
tekrarlaması,tekrarla:ması
çalıştı,çalış:tı
almadı,al:madı
kuyruğuna,kuyruk:una
öğretti,öğret:ti
çobanın,çoban:ın
oturmakta,otur:makta
söylediklerini,söyle:diklerini
dışında,dışı:nda
yapmazsan,yap:mazsan
ikili,iki:li
geçince,geçin:ce
uyandı,uyan:dı
kalması,kal:ması
oynamayı,oyna:mayı
taç,taç
konuşsun,konuş:sun
şişeye,şişe:ye
tuzla,tuzla
yaradığını,yara:dığını
zamanki,zaman:ki
üzgün,üzgün
yapayalnız,yapayalnız
gelir,gelir
kendini,kendi:ni
fikrin,fikir:in
yürüyüş,yürüyüş
dokuz,dokuz
sevinerek,sevin:erek
tam,tam
söyleyeceksin,söyle:yeceksin
ten,ten
büyütürse,büyüt:ürse
girmemişken,gir:memişken
yerleştirdi,yerleş:tirdi
çaya,çay:a
endişelenmeye,endişelen:meye
kadife,kadife
birazcık,biraz:cık
farkına,fark:ına
kazandı,kazan:dı
gördüklerinde,gör:düklerinde
yaptı,yap:tı
salonunu,salon:unu
dünyanın,dünya:nın
açmadım,açma:dım
bahçede,bahçe:de
çabası,çaba:sı
bağırdı,bağır:dı
emzirmeye,emzir:meye
gösteremem,göster:emem
peki,peki
cırlak,cırlak
öğreniyorlardı,öğren:iyorlardı
işten,işte:n
hiçbirinin,hiçbiri:nin
çiçek,çiçek
gözler,gözle:r
meraklandı,meraklan:dı
birçok,birçok
övünecek,övün:ecek
ayak,ayak
baktı,bak:tı
milden,mil:den
araya,ara:ya
evin,ev:in
oyuna,oyun:a
benziyor,benze:iyor
giyinmiş,giyin:miş
uzaklaşmasına,uzak:laşmasına
imzalamadıysan,imzala:madıysan
kuşu,kuş:u
toplayarak,topla:yarak
dediler,de:diler
sebzedir,sebze:dir
kalktı,kalk:tı
vı,vı
yavaşça,yavaş:ça
soluyarak,solu:yarak
yelpaze,yelpaze
kedisidir,kedi:sidir
edindiği,edin:diği
şunların,şu:nların
tekrarlamaya,tekrarla:maya
üzüntü,üzüntü
acıdı,acı:dı
iste,iste
yuttu,yut:tu
karşılaşmamıştı,karşılaşma:mıştı
yaklaşık,yaklaşık
kayboldu,kaybol:du
sundu,sun:du
hareketidir,hareket:idir
veremeyeceği,ver:emeyeceği
vurgusunu,vurgu:sunu
anlamakta,anla:makta
altındaydılar,altın:daydılar
kaldılar,kal:dılar
sem,sem
bildiğiniz,bil:diğiniz
bebeğe,bebek:e
bozulan,bozul:an
çılgınca,çılgın:ca
öyküyü,öykü:yü
ziyaret,ziyaret
şarkı,şarkı
sahibi,sahip:i
istemiyoruz,iste:miyoruz
amuda,amut:a
yönlere,yön:lere
doğruydu,doğru:ydu
görünen,gör:ünen
doğrultup,doğrul:tup
bundan,bun:dan
ısırdı,ısır:dı
boyunu,boyun:u
oluşan,oluş:an
suyun,su:yun
bunlara,bun:lara
ne,ne
ördek,ördek
boyuca,boy:uca
gözleri,göz:leri
koştu,koş:tu
yedim,yedi:m
almadım,al:madım
parmağınızı,parmak:ınızı
korkması,kork:ması
dört,dört
kızına,kız:ına
sakin,sakin
tahmin,tahmin
ıstakozları,ıstakoz:ları
yaklaşırsın,yaklaş:ırsın
titrerken,titre:rken
hazır,hazır
davranmanın,davran:manın
mantarın,mantar:ın
doluydu,dolu:ydu
işitmiş,işit:miş
niyetli,niyet:li
sadeydi,sade:ydi
kırgınlık,kırgın:lık
yapmamıştı,yapma:mıştı
xı,xı
yazmakta,yaz:makta
zannetme,zannet:me
zorlamayın,zorla:mayın
ailem,aile:m
sözcüğünün,sözcük:ünün
gözlerinde,göz:lerinde
davranmalısın,davran:malısın
alıyor,al:ıyor
bitmesini,bit:mesini
gördün,gör:dün
yürüyor,yürü:yor
kalemine,kalem:ine
bağırdılar,bağır:dılar
gücenmesinden,gücen:mesinden
ingilizceden,ingilizce:den
akıllı,akıllı
bulurken,bul:urken
yaprak,yaprak
uzaklaştıkça,uzak:laştıkça
edin,edin
sohbete,sohbet:e
gözünün,göz:ünün
patron,patron
bekliyor,bekle:iyor
hallettiğini,hallet:tiğini
yaslanırken,yasla:nırken
en,en
havlaması,havla:ması
hoşlanmam,hoşlan:mam
şuydu,şu:ydu
majesteleri,majeste:leri
çayımı,çay:ımı
sormalarına,sor:malarına
mırıldandığını,mırıldan:dığını
tırtılın,tırtıl:ın
beğenmemişti,beğen:memişti
zamanlarda,zaman:larda
acayip,acayip
tüketir,tüket:ir
evimdeyken,ev:imdeyken
bilgilerini,bilgi:lerini
beceriksizce,beceriksiz:ce
çapraz,çapraz
oyun,oyun
gayet,gayet
tüyleri,tüy:leri
ikiniz,iki:niz
tuhaf,tuhaf
mavi,mavi
koltuğa,koltuk:a
azından,azı:ndan
sirke,sirke
madeni,madeni
uşak,uşak
terrier,terrier
titrek,titrek
tekrarladı,tekrarla:dı
sormak,sor:mak
önden,ön:den
oraya,ora:ya
miyiz,mi:yiz
uçurun,uçur:un
hatalı,hata:lı
bağırarak,bağır:arak
dokuzu,dokuz:u
konuştuğunu,konuş:tuğunu
kaybolmaktan,kaybol:maktan
kaplayan,kapla:yan
ediyorlardı,et:iyorlardı
verdiler,verdi:ler
onların,onlar:ın
tomarı,tomar:ı
üzüntüden,üzüntü:den
kalmayı,kal:mayı
boya,boya
görmüşsündür,gör:müşsündür
birden,bir:den
minik,minik
almaz,al:maz
ayaklarım,ayakla:rım
seninle,sen:inle
cebinden,cebin:den
verecek,ver:ecek
sırılsıklam,sırılsıklam
giydiğini,giy:diğini
öptü,öp:tü
bakınca,bakın:ca
bol,bol
adını,ad:ını
dönüşüyorsan,dönüş:üyorsan
derindi,derin:di
geldiğim,gel:diğim
olsaydı,ol:saydı
kime,kim:e
şekerlenmeliyken,şekerle:nmeliyken
dağıttı,dağıt:tı
içeri,içeri
altına,altın:a
yiyip,ye:iyip
aceleye,acele:ye
gerçeği,gerçek:i
sözlerini,söz:lerini
lale,lale
başlamış,başla:mış
kaplıyor,kapla:ıyor
oldu,ol:du
oğuşturarak,oğuştur:arak
kızlardan,kız:lardan
karmakarışık,karmakarışık
ilerideki,ileri:deki
kapayıncaya,kapa:yıncaya
iyi,iyi
halinde,hal:inde
santime,santim:e
katıldı,katıl:dı
eldiveni,eldiven:i
istediğim,iste:diğim
yapabiliriz,yap:abiliriz
değildi,değil:di
değiştirmek,değiş:tirmek
olmamdır,ol:mamdır
olmamış,ol:mamış
içindeydi,içinde:ydi
davrandı,davran:dı
aittir,ait:tir
okumaya,oku:maya
duyulur,duy:ulur
kırıntıları,kırıntı:ları
vurdururum,vur:dururum
gecikmeden,gecik:meden
düşüşten,düş:üşten
tavanlı,tavan:lı
kesilmeyecek,kes:ilmeyecek
dinlediğini,dinle:diğini
bakmış,bak:mış
esniyor,esne:iyor
kas,kas
aklına,akıl:ına
karıştırıyor,karış:tırıyor
elindekini,el:indekini
yüzlerini,yüz:lerini
açıklama,açıkla:ma
atlatıp,atlat:ıp
duyduğu,duy:duğu
bulamadın,bula:madın
boyumda,boy:umda
ay,ay
tatsız,tatsız
usulca,usul:ca
bugün,bugün
dokunarak,dokun:arak
almalı,al:malı
tepesine,tepe:sine
rüya,rüya
kısa,kısa
bahçıvanın,bahçıvan:ın
olmalısınız,ol:malısınız
kuşlarıydı,kuş:larıydı
görmeye,gör:meye
bilgisiz,bilgi:siz
süredir,süre:dir
geçirdiği,geçir:diği
kalem,kalem
bitap,bitap
zorlandıkları,zorla:ndıkları
gök,gök
vurun,vuru:n
gitmeyi,git:meyi
uzatarak,uzat:arak
tavşanı,tavşan:ı
öğrenmem,öğren:mem
kuşkusuz,kuşku:suz
tüttürüyor,tüttür:üyor
aksırıyordu,aksır:ıyordu
sebzeye,sebze:ye
anlatır,anlatı:r
kaplumbağa,kaplumbağa
imzanı,imza:nı
değişiklikten,değişik:likten
kapıları,kapı:ları
düşünceli,düşünceli
olacak,ol:acak
dersin,ders:in
bilmediğine,bil:mediğine
kurallara,kural:lara
giderdik,gider:dik
olsaydınız,ol:saydınız
peri,peri
neyse,ney:se
gözetmekle,gözet:mekle
tonuyla,ton:uyla
çevirebilir,çevir:ebilir
ilginçti,ilginç:ti
istedi,iste:di
dökülen,dök:ülen
davet,davet
akıtır,akıt:ır
üşüteceğinden,üşüt:eceğinden
ayındaki,ayın:daki
korku,korku
vereceğini,ver:eceğini
satmak,sat:mak
kırmızı,kırmızı
kızının,kız:ının
itiraz,itiraz
şimdi,şimdi
öpmesem,öp:mesem
beyazdı,beyaz:dı
olmadığı,olmadık:ı
açıp,aç:ıp
türden,tür:den
off,off
burnuyla,burun:uyla
rulosunu,rulo:sunu
getirirdi,getir:irdi
görüntüsünden,görüntü:sünden
resme,resim:e
hoşlanmamıştı,hoşlan:mamıştı
olabilir,ol:abilir
uzatabilmek,uzat:abilmek
olduğumda,ol:duğumda
ağaçlıktan,ağaç:lıktan
sayı,sayı
toparladı,toparla:dı
kucağına,kucak:ına
çekersin,çeker:sin
davranacağını,davran:acağını
düşürecek,düşür:ecek
gerek,gerek
küçülerek,küçül:erek
göründü,görü:ndü
dolamadığımı,dola:madığımı
